zipcode,city
98001,Auburn
98002,Auburn
98003,Federal Way
98004,Bellevue
98005,Bellevue
98006,Bellevue
98007,Bellevue
98008,Bellevue
98009,Bellevue
98010,Black Diamond
98011,Bothell
98013,Burton
98014,Carnation
98015,Bellevue
98019,Duvall
98022,Enumclaw
98023,Federal Way
98024,Fall City
98025,Hobart
98027,Issaquah
98028,Kenmore
98029,Issaquah
98030,Kent
98031,Kent
98032,Kent
98033,Kirkland
98034,Kirkland
98035,Kent
98038,Maple Valley
98039,Medina
98040,Mercer Island
98041,Bothell
98042,Kent
98045,North Bend
98047,Pacific
98050,Preston
98051,Ravensdale
98052,Redmond
98053,Redmond
98055,Renton
98056,Renton
98057,Renton
98058,Renton
98059,Renton
98062,Seahurst
98063,Federal Way
98064,Kent
98065,Snoqualmie
98070,Vashon
98071,Auburn
98072,Woodinville
98073,Redmond
98074,Sammamish
98075,Sammamish
98077,Woodinville
98082,Mill Creek
98083,Kirkland
98089,Kent
98092,Auburn
98093,Federal Way
98101,Seattle
98102,Seattle
98103,Seattle
98104,Seattle
98105,Seattle
98106,Seattle
98107,Seattle
98108,Seattle
98109,Seattle
98111,Seattle
98112,Seattle
98113,Seattle
98114,Seattle
98115,Seattle
98116,Seattle
98117,Seattle
98118,Seattle
98119,Seattle
98121,Seattle
98122,Seattle
98124,Seattle
98125,Seattle
98126,Seattle
98127,Seattle
98129,Seattle
98131,Seattle
98132,Seattle
98133,Seattle
98134,Seattle
98136,Seattle
98138,Seattle
98139,Seattle
98141,Seattle
98144,Seattle
98145,Seattle
98146,Seattle
98148,Seattle
98154,Seattle
98155,Seattle
98158,Seattle
98160,Seattle
98161,Seattle
98164,Seattle
98165,Seattle
98166,Seattle
98168,Seattle
98170,Seattle
98174,Seattle
98175,Seattle
98177,Seattle
98178,Seattle
98181,Seattle
98185,Seattle
98188,Seattle
98189,Seattle
98190,Seattle
98191,Seattle
98194,Seattle
98195,Seattle
98198,Seattle
98199,Seattle
